| Key | Bedeutung                 | Dein Wert    | Menschlich                 |
| --- | ------------------------- | ------------ | -------------------------- |
| 1   | Kamera bereit             | 1            | Bereit                     |
| 2   | SD-Karte vorhanden        | 1            | SD-Karte eingelegt         |
| 3   | Aufnahme läuft            | 0            | Nein                       |
| 4   | Akku (%)                  | 255          | unbekannt/extern versorgt  |
| 6   | USB verbunden             | 0            | Nein                       |
| 8   | GPS                       | 0            | Aus                        |
| 9   | LCD aktiv                 | 0            | Aus                        |
| 10  | Frontdisplay              | 0            | Aus                        |
| 17  | QuickCapture              | 1            | Aktiv                      |
| 19  | Modus                     | 3            | Video                      |
| 20  | Submodus                  | 1            | Standard Video             |
| 21  | verbleibende Aufnahmen    | 22359        | Bilder                     |
| 22  | Protune                   | 4            | je nach Modus              |
| 23  | verbleibende Aufnahmezeit | 62863        | Sekunden (≈17h 27min)      |
| 28  | Temperatur                | 82           | ca. 28°C (nicht direkt °C) |
| 29  | Dateiname                 | ""           | keine Aufnahme             |
| 30  | Kameraname                | HERO11 Black | ✔                          |
| 31  | LEDs                      | 2            | Normal                     |
| 34  | Akkuspannung              | 3754         | 3.754 V                    |
| 35  | USB Spannung              | 3601         | 3.601 V                    |
| 54  | Seriennummer (Hash)       | 63762857     | intern                     |
| 55  | Wireless                  | 1            | Ein                        |
| 56  | WLAN Status               | 4            | Verbunden                  |
| 60  | Lautsprecher              | 500          | intern                     |
| 69  | Touch                     | 1            | Aktiv                      |
| 70  | Signal                    | 40           | WLAN RSSI                  |
| 81  | Cloud                     | 1            | möglich                    |
| 82  | Bluetooth                 | 1            | Ein                        |
| 83  | WiFi                      | 1            | Ein                        |
| 89  | Firmware Major            | 12           | Version                    |
| 94  | Freier Speicher           | 65536        | intern                     |
| 95  | Gesamtspeicher            | 131072       | intern                     |
